geometry,address
POINT (-120.837484 37.510474),"Delbon Avenue, 95381, Turlock, California, United States"
POINT (-120.853634 37.505991),"20th Century Boulevard, 95381, Turlock, California, United States"
POINT (-120.846335 37.490449),"3rd Street, 95381, Turlock, California, United States"
POINT (-120.8471252 37.4881749),"5th Street, 95381, Turlock, California, United States"
POINT (-120.7557462 37.643973),"Bentley Street, 95386, Waterford, California, United States"
POINT (-120.7557462 37.643973),"Bentley Street, 95386, Waterford, California, United States"
POINT (-120.929756 37.663584),"East Orangeburg Avenue, 95355, Modesto, California, United States"
POINT (-120.837484 37.510474),"Delbon Avenue, 95381, Turlock, California, United States"
POINT (-120.8011172360508 38.371806899999996),"WellSpace Health, 11333, Prospect Drive, 95642, Prospect Drive, Jackson, CA, United States"
POINT (-120.85577634163963 37.5255729),"California State University, Stanislaus, 1, University Circle, 95382, University Circle, Turlock, CA, United States"
POINT (-120.975702 37.6490106),"Scenic Drive, 95354, Modesto, California, United States"
POINT (-120.995705 37.636646),"10th Street, 95354, Modesto, California, United States"
POINT (-121.54078293613745 38.661324449999995),"100, Anjou Circle, 95835, Anjou Circle, Sacramento, CA, United States"
POINT (-121.5156646 38.5213316),"1, Lundy Court, 95822, Lundy Court, Sacramento, CA, United States"
POINT (-121.4339702 38.621593),"Marysville Blvd del Paso Boulevard Alley, 95815, Sacramento, California, United States"
POINT EMPTY,
POINT (-121.54871537927781 38.6478992),"100, Lentint Way, 95834, Lentint Way, Sacramento, CA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-121.4153047 38.6245131),"Howe Avenue, 95821, Sacramento, California, United States"
POINT (-121.5151177 38.6601141),"New Market Drive, 95835, Sacramento, California, United States"
POINT (-121.4148588 38.5904047),"Red Lobster, 1400, Howe Avenue, 95825, Howe Avenue, Sacramento, California, United States"
POINT (-121.4437837 38.6183751),"Las Palmas Avenue, 95815, Sacramento, California, United States"
POINT EMPTY,
POINT EMPTY,
