geometry,address
POINT (-92.4005265 31.1001467),"Leebo Lane, 71346, Lecompte, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.52391 31.575141),"Lindy Lane, 71423, Dry Prong, Louisiana, United States"
POINT EMPTY,
POINT (-92.6416961 31.9249406),"West Lafayette Street, 71483, Winnfield, Louisiana, United States"
POINT EMPTY,
POINT (-92.6416961 31.9249406),"West Lafayette Street, 71483, Winnfield, Louisiana, United States"
POINT (-92.6416961 31.9249406),"West Lafayette Street, 71483, Winnfield, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-92.6376491 32.5176498),"Louisiana Methodist Childrens Home, South Vienna Street, 71272, South Vienna Street, Ruston, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-91.15776404784096 30.500392050000002),"3140, Amarillo Street, 70805, Amarillo Street, Baton Rouge, LA, United States"
POINT (-91.0793418 30.3516636),"Plantation Ridge Drive, 70810, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-91.1878319397887 30.44915725),"Courtyard by Marriott Baton Rouge Downtown, Florida Street, 70802, Florida Street, Baton Rouge, LA, United States"
POINT (-91.17496523262801 30.414482550000002),"Paul M. Hebert Law Center, Highland Road, 70803, Highland Road, Baton Rouge, Louisiana, United States"
POINT (-91.1792104 30.41845085),"Chase, 250, West State Street, 70802, West State Street, Baton Rouge, LA, United States"
POINT (-91.1884036 30.4468324),"North Blvd Transit Hub, North Boulevard, 70801, North Boulevard, Baton Rouge, LA, United States"
POINT (-75.6694134 -11.4680085),"Institución Educativa No. 30784, Avenida 15 de Julio, 12651, Avenida 15 de Julio, Tarma, Junin, Perú"
POINT (-91.1884036 30.4468324),"North Blvd Transit Hub, North Boulevard, 70801, North Boulevard, Baton Rouge, LA, United States"
POINT EMPTY,
