geometry,address
POINT (-72.60497059854086 41.71423995),"Melzen Plaza, 103, New London Turnpike, 06033, New London Turnpike, Glastonbury, CT, United States"
POINT (-72.760212 41.6729392),"120, Newington Avenue, 06051, Newington Avenue, New Britain, CT, United States"
POINT (-73.4749617 41.395432),"8, Bergh Street, 06810, Bergh Street, Danbury, CT, United States"
POINT (-72.7990982 41.540962),"134, State Street, 06450, State Street, Meriden, CT, United States"
POINT (-72.7804281 41.6587089),"85, Bassett Street, 06051, Bassett Street, New Britain, CT, United States"
POINT (-73.0369674 41.555901),"51, North Elm Street, 06702, North Elm Street, Waterbury, CT, United States"
POINT (-73.4561391 41.3953017),"41, New Street, 06810, New Street, Danbury, CT, United States"
POINT (-72.7657365 41.6693603),"600, East Street, 06051, East Street, New Britain, CT, United States"
POINT (-73.3988399 41.3806654),"34, Maple Avenue Extension, 06801, Maple Avenue Extension, Bethel, CT, United States"
POINT (-72.8079758 41.6865279),"732, Slater Road, 06053, Slater Road, New Britain, CT, United States"
POINT (-72.781721 41.6583719),"241, Glen Street, 06051, Glen Street, New Britain, CT, United States"
POINT (-72.8133261 41.6758161),"322, Slater Road, 06053, Slater Road, New Britain, CT, United States"
POINT (-72.80560757294091 41.6862965),"E. C. Goodwin Technical High School, 735, Slater Road, 06053, Slater Road, New Britain, CT, United States"
POINT (-72.7577871 41.5275441),"208, West View Drive, 06450, West View Drive, Meriden, CT, United States"
POINT (-72.7780212 41.7035648),"2150, Stanley Street, 06053, Stanley Street, New Britain, CT, United States"
POINT (-72.784598 41.5275265),"133, Dexter Avenue, 06450, Dexter Avenue, Meriden, CT, United States"
POINT (-72.7996924 41.6959164),"140, Horseplain Road, 06053, Horseplain Road, New Britain, CT, United States"
POINT (-72.8441098 41.5160524),"124, Somer Drive, 06451, Somer Drive, Meriden, CT, United States"
POINT (-73.066781393128 41.57576305),"W.F. Kaynor Technical High School, 43, Tompkins Street, 06708, Tompkins Street, Waterbury, CT, United States"
POINT (-72.8048794 41.6593053),"145, Steele Street, 06052, Steele Street, New Britain, CT, United States"
POINT (-72.8242831 41.5373722),"164, Centennial Avenue, 06451, Centennial Avenue, Meriden, CT, United States"
POINT (-72.77236594613171 41.53165895),"Francis T. Maloney High School, 121, Gravel Street, 06450, Gravel Street, Meriden, CT, United States"
POINT (-72.7944802 41.5372448),"165, Miller Street, 06450, Miller Street, Meriden, CT, United States"
POINT (-72.78378126998125 41.534555499999996),"398, Liberty Street, 06450, Liberty Street, Meriden, CT, United States"
POINT (-72.77336701473088 41.543125200000006),"Nathan Hale Elementary School, 277, Atkins Street Extension, 06450, Atkins Street Extension, Meriden, CT, United States"
