geometry,address
POINT (-117.1250619 32.7055989),"32nd/Commercial, South 32nd Street, 92113, South 32nd Street, San Diego, California, United States"
POINT (-116.96273626009125 32.7946701),"Centro Médico El Cajón, 133, West Main Street, 92020, West Main Street, El Cajon, CA, United States"
POINT (-117.0206095 32.7649694),"La Mesa Boulevard, Spring Street, 91941, Spring Street, La Mesa, California, United States"
POINT (-117.152153 32.798489),"8110, Birmingham Way, 92123, Birmingham Way, San Diego, California, United States"
POINT (-117.093256 32.756217),"4690, El Cajon Boulevard, 92115, El Cajon Boulevard, San Diego, California, United States"
POINT (-116.97607 32.7919757),"El Cajon, Front Street, 92020, Front Street, El Cajon, California, United States"
POINT (-116.976724 32.781443),"1111, West Chase Avenue, 92020, West Chase Avenue, El Cajon, California, United States"
POINT (-117.07779866705413 32.7583969),"Family Health Centers of San Diego City Heights, 5454, El Cajon Boulevard, 92115, El Cajon Boulevard, San Diego, CA, United States"
POINT (-116.95599838193024 32.7947085),"El Cajon Family Health Center, 525, East Main Street, 92020, East Main Street, El Cajon, CA, United States"
POINT (-117.21196 32.829211),"3420, Luna Avenue, 92117, Luna Avenue, San Diego, California, United States"
POINT (-116.9717775021403 32.7963521),"Cuyamaca Peak Energy Plant, 200, North Johnson Avenue, 92020, North Johnson Avenue, El Cajon, CA, United States"
POINT (-110.97609089377283 29.11478605),"Parque de la Iglesia Medalla Milagrosa, 312, Calle 3 Monteverde, 83138, Calle 3 Monteverde, Hermosillo, México"
POINT (-117.009841 32.715327),"8788, Jamacha Road, 91977, Jamacha Road, Spring Valley, California, United States"
POINT (-116.938902 32.815716),"1234, El Rey Avenue, 92021, El Rey Avenue, El Cajon, California, United States"
POINT (-117.040789 32.769174),"7290, El Cajon Boulevard, 92115, El Cajon Boulevard, San Diego, California, United States"
POINT (-117.034477 32.739246),"7592, Central Avenue, 91945, Central Avenue, Lemon Grove, California, United States"
POINT (-117.002714 32.748596),"3845, Spring Drive, 91977, Spring Drive, Spring Valley, California, United States"
POINT (-117.10622080334983 32.78477565),"Mission Basilica San Diego de Alcala, Booth Hill Road, 92116, Booth Hill Road, San Diego, California, United States"
POINT (-116.946593 32.808121),"1032, Broadway, 92022, Broadway, El Cajon, CA, United States"
POINT (-116.97607 32.7919757),"El Cajon, Front Street, 92020, Front Street, El Cajon, California, United States"
POINT (-117.1341978 32.6500534),"San Diego Bay, 92155, CA, United States"
POINT (-117.027701 32.745279),"7967, Lemon Grove Way, 91945, Lemon Grove Way, Lemon Grove, California, United States"
POINT (-117.045067 32.725177),"7139, Cabernet Way, 91945, Cabernet Way, Lemon Grove, California, United States"
POINT (-116.952309 32.800285),"855, East Madison Avenue, 92020, East Madison Avenue, El Cajon, California, United States"
POINT (-116.963918 32.792521),"215, West Lexington Avenue, 92020, West Lexington Avenue, El Cajon, California, United States"
